x,y,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m
5.75853632468233,50.99156215020842,11.7,85,299,1022,7.909,0.00135803,13.6,1,1,1,Ah,50
5.757863101204539,50.99108789640849,8.6,81,277,1141,6.983,0.0122243,14,1,1,1,Ah,30
5.759855500851523,50.99089273686458,6.5,68,199,640,7.8,0.103029,13,1,1,1,Ah,150
5.7617458530618535,50.99041022912124,2.6,81,116,257,7.655,0.190094,8,1,2,0,Ga,270
5.761862790746283,50.989025564434414,2.8,48,117,269,7.48,0.27709,8.7,1,2,0,Ah,380
5.763039724361023,50.98839253012363,3,61,137,281,7.791,0.364067,7.8,1,2,0,Ga,470
5.759843376167347,50.98939163418274,3.2,31,132,346,8.217,0.190094,9.2,1,2,0,Ah,240
5.75787750286567,50.989335020364116,2.8,29,150,406,8.49,0.0921516,9.5,1,1,0,Ab,120
5.758337937063646,50.988147014805634,2.4,37,133,347,8.668,0.184614,10.6,1,1,0,Ab,240
5.760782874143917,50.98757285536274,1.6,24,80,183,9.049,0.309702,6.3,1,2,0,W,420
5.7601951324167375,50.98709833943857,1.4,25,86,189,9.015,0.315116,6.4,1,2,0,Fh,400
5.757924732830363,50.986350563872136,1.8,25,97,251,9.073,0.228123,9,1,1,0,Ag,300
5.7556967873778015,50.98912624614397,11.2,93,285,1096,7.32,0,15.4,1,1,1,W,20
5.757043481609868,50.98833992188012,2.5,31,183,504,8.815,0.113932,8.4,1,1,0,Ah,130
5.757635056156333,50.98752004402322,2,27,130,326,8.937,0.168336,9.1,1,1,0,Ah,220
5.755063486629203,50.98829229438859,9.5,86,240,1032,7.702,0,16.2,1,1,1,W,10
5.754099158699222,50.98701893373707,7,74,133,606,7.16,0.0122243,16,1,1,1,W,10
5.753107115494321,50.98583554144519,7.1,69,148,711,7.1,0.0122243,16,1,1,1,W,10
5.752115620805934,50.98471506113156,8.7,69,207,735,7.02,0,13.7,1,1,1,W,10
5.751108870965623,50.98345978735648,12.9,95,284,1052,6.86,0,14.8,1,1,1,NA,10
5.752347819759097,50.98346487648493,5.5,53,194,673,8.908,0.0703468,10.2,1,1,1,Am,80
5.753231339823697,50.983542987229924,2.8,35,123,402,8.99,0.0975136,7.2,1,1,1,Am,140
5.753227560932991,50.98306658910434,2.9,35,110,343,8.83,0.113932,7.2,1,1,1,Ag,160
5.759640185620551,50.98539223962686,1.7,24,85,218,9.02,0.342321,7,1,2,0,Ah,440
5.759547343791472,50.984475673207385,1.4,26,75,200,8.976,0.385804,6.9,1,2,0,W,490
5.7598288829072395,50.98407026845665,1.5,22,76,194,8.973,0.429289,6.3,1,2,0,W,530
5.757564626242819,50.98406854272308,1.3,27,73,207,8.507,0.315116,5.6,1,2,0,Ab,400
5.75705973660513,50.983261157863915,1.3,24,67,180,8.743,0.320574,4.4,1,2,0,Ag,400
5.7562528065749685,50.9838569975566,1.8,22,87,240,8.973,0.249863,5.3,1,2,0,Ah,330
5.76247559153513,50.98557185312817,1.5,21,65,180,9.043,0.489064,4.8,1,2,0,Ag,630
5.759329640089777,50.982202188362116,1.3,29,78,208,8.688,0.472778,2.6,1,2,0,B,570
5.755692733197686,50.98148571922083,1.3,21,64,198,8.727,0.287957,1,1,2,0,Ag,390
5.754992210598382,50.98113738019273,2.1,27,77,250,8.328,0.271622,2.4,1,2,0,Ah,360
5.756768445803746,50.980673293030755,1.2,26,80,192,7.971,0.385807,1.9,1,2,0,B,500
5.756791093014717,50.97994512224043,1.6,27,82,213,7.809,0.418417,3.1,1,2,0,B,550
5.753289182415871,50.9800641120323,3,32,97,321,6.986,0.244474,1.6,1,2,0,Ab,340
5.75218672161856,50.98110131183429,5.8,50,166,569,7.756,0.135709,3.5,1,2,0,Ab,210
5.750740903815542,50.9819418243087,7.9,67,217,833,7.784,0.0484965,8.1,1,1,1,Am,60
5.7500032761789095,50.98230369220997,8.1,77,219,906,7,0,7.9,1,1,1,W,10
5.748643330918777,50.98139108018744,14.1,108,405,1454,6.92,0.00135803,9.5,1,1,1,W,20
5.750213573987994,50.9800737939778,2.4,32,102,298,7.516,0.135709,1.4,1,2,0,Am,170
5.751157870435125,50.97883935510688,1.2,21,48,167,8.18,0.26622,NA,1,2,0,Ga,320
5.749590359319973,50.97868247143773,1.7,22,65,176,8.694,0.211843,NA,1,2,0,W,260
5.748996433555055,50.97738993167289,1.3,21,62,258,9.28,0.320572,2,1,2,0,Ah,360
5.7482321822921225,50.97980133323475,4.2,51,281,746,7.94,0.081222,5.1,1,2,0,Ah,100
5.747325174391371,50.978527738340155,4.3,50,294,746,6.36,0.190086,5.3,1,2,0,Am,200
5.747187002036813,50.97724276006121,3.1,38,211,464,7.78,0.287941,4.5,1,2,0,Ah,320
5.7471620377501225,50.97586754112558,1.7,26,135,365,8.18,0.423826,4.9,1,2,0,Ah,480
5.746980395627894,50.974483820248246,1.7,24,112,282,9.42,0.554289,4.5,1,2,0,Bw,660
5.745961448952365,50.97344427327958,2.1,32,162,375,8.867,0.603225,5.5,1,2,0,Bw,690
5.745047569968633,50.973096535409475,1.7,24,94,222,8.292,0.614071,3.4,1,2,0,Ab,710
5.746555637454614,50.98027396896767,8.2,47,191,812,8.06,0.00135803,11.1,1,1,1,Ah,10
5.744643851885738,50.97979448696056,17,128,405,1548,7.98,0,12.3,1,1,1,W,10
5.742789891900199,50.97942266231938,12,117,654,1839,7.9,0.0054321,16.5,1,1,1,W,10
5.7406941804426745,50.979087501748104,9.4,104,482,1528,7.74,0.0054321,13.9,1,1,1,W,10
5.73871117527811,50.97859016173564,8.2,76,276,933,7.552,0.0054321,8.1,1,1,1,W,20
5.740197553497207,50.977453043515915,2.6,36,180,432,7.76,0.14657800000000001,3.1,1,1,0,Fw,200
5.741769134693787,50.97814937349991,3.5,34,207,550,6.74,0.135684,5.8,1,1,0,Fw,140
5.744595287955803,50.97903957215633,10.9,90,541,1571,6.68,0.0703333,10.2,1,1,1,Fw,70
5.737522420961457,50.977676900116855,7.3,80,310,1190,7.4,0.0484831,12,1,1,1,W,20
5.73640347509076,50.976574649807354,9.4,78,210,907,7.44,0.0054321,14.1,1,1,1,W,10
5.735950826026731,50.97508386292382,8.3,77,158,761,7.36,0.0054321,14.5,1,1,1,Fw,10
5.7358560991285605,50.97385267415702,7,65,141,659,7.2,0.0316663,14.8,1,1,1,W,20
5.734778912960017,50.97260646093601,6.8,66,144,643,7.22,0.0122243,13.3,1,1,1,Ah,10
5.7336313457300845,50.97145932589378,7.4,72,181,801,7.36,0.0122243,15.2,1,1,1,W,20
5.732499819704402,50.970545842130456,6.6,75,173,784,5.18,0.0373395,11.4,1,1,1,W,20
5.735551133591433,50.96928725053937,7.8,75,399,1060,5.8,0.211846,9,1,1,0,Ah,270
5.7386983003309675,50.96755187759363,0.7,22,45,119,7.64,0.451037,3.6,1,1,1,Fw,560
5.7409668212696525,50.96635843851951,3.4,55,325,778,6.32,0.575877,6.9,1,1,0,Bw,750
5.730842000678931,50.96777321678975,3.9,47,268,703,5.76,0.0756869,7,1,1,1,Ab,80
